Data;pH;Turbidez;CondutividadeEletrica
04/03/2012;7,18;6,76;83,8
05/03/2012;6,98;74,6;63
17/03/2012;7,22;13,1;63
19/03/2012;7,5;216;66
20/03/2012;7,56;107;
20/03/2012;7,05;34,5;0,044
21/03/2012;7,51;31,4;103
21/03/2012;8,3;4,5;0,052
21/03/2012;5,6;42,7;0,01
22/03/2012;8,1;58,7;0,009
22/03/2012;5,61;24,9;0,01
23/03/2012;7,5;19,7;0,005
23/03/2012;6,17;87,9;0,017
24/03/2012;7,37;275;140
24/03/2012;6,05;47,8;0,013
24/03/2012;6,75;77,5;157,7
26/03/2012;7,8;12,8;0,005
26/03/2012;6,84;21,1;0,052
29/03/2012;6,74;22,5;16
23/04/2012;7,53;16;117,6
30/04/2012;7,44;6,48;33,4
17/05/2012;6,67;18,1;24,6
19/05/2012;6,64;8,75;23,6
22/05/2012;6,73;20,2;54,2
23/05/2012;7,19;9,63;67,4
25/05/2012;6,95;;83,4
26/05/2012;6,89;;73
28/05/2012;6,89;;90,2
19/06/2012;7,03;5,1;0,055
21/06/2012;6,98;6,35;29
21/06/2012;5,23;6,51;0,009
22/06/2012;5;5,72;0,007
23/06/2012;5,44;17,4;0,011
25/06/2012;8,15;8,44;229
25/06/2012;5,46;10,9;0,01
26/06/2012;5,14;7,83;0,011
27/06/2012;7,62;12,6;54
28/06/2012;7,87;53,5;131
30/06/2012;6,54;9,36;167,39999
01/07/2012;7,74;12,1;102
01/07/2012;8,4;3,74;0,005
02/07/2012;;8,44;64
03/07/2012;7,3;8,81;42
03/07/2012;9,5;6,2;0,004
05/07/2012;10,9;6,21;0,007
09/07/2012;10,7;4,92;0,066
02/08/2012;7,66;6,29;112,7
06/08/2012;7,8;2,94;37,6
11/08/2012;7,07;7,69;123,7
13/08/2012;7,04;5,58;108
14/08/2012;7,18;7,01;80,5
16/08/2012;7,05;3,67;63,4
17/08/2012;6,87;5,53;62,4
21/08/2012;6,93;4,73;21,79
28/08/2012;7,29;5,24;14,45
18/09/2012;7,75;4,06;0,075
20/09/2012;5,96;4,88;0,009
21/09/2012;5,7;4,23;0,007
22/09/2012;6,2;7,73;0,011
24/09/2012;6,13;6,7;0,01
25/09/2012;5,75;8,18;0,01
28/09/2012;7,25;19,8;150,3
01/10/2012;7,08;4,84;40
04/10/2012;;6,03;255
06/10/2012;9,4;3;0,005
08/10/2012;;12,9;146
08/10/2012;9,3;2,48;0,005
09/10/2012;;7,88;45
10/10/2012;8,1;3,28;0,006
12/10/2012;;7,22;34
13/10/2012;8,7;1,15;0,073
14/10/2012;;10,5;40
23/10/2012;7,75;2,66;49,7
25/10/2012;7,31;9,07;111
30/10/2012;7,01;193;107
07/11/2012;7,24;4,08;82,5
07/11/2012;7,43;9;116
08/11/2012;7,45;12,4;98,5
09/11/2012;7,23;4,45;51,9
11/11/2012;7,04;21,7;30
12/11/2012;7,02;5,88;12,6
13/11/2012;7,15;381;56,2
28/11/2012;6,9;11,1;33
29/11/2012;7,92;156;85,4
01/12/2012;7,5;357;55
03/12/2012;7,1;76,7;102
05/12/2012;;6,72;
05/12/2012;;154;
06/12/2012;9,6;35,6;0,007
07/12/2012;9,3;23,7;0,007
08/12/2012;8,3;82,4;0,01
08/12/2012;8,17;36;0,066
11/12/2012;9,4;2,38;0,068
11/12/2012;6,54;62,5;0,013
12/12/2012;6,37;6,37;0,012
13/12/2012;6,92;306;0,02
14/12/2012;6,71;24,4;0,015
15/12/2012;7,42;136;0,041
07/03/2013;7,45;12,8;120,8
11/03/2013;7,33;10,2;33,6
08/04/2013;7,28;60,6;123,3
09/04/2013;6,98;80;103,7
09/04/2013;7,6;66,4;137
10/04/2013;7,34;985;66,5
11/04/2013;7,15;35,2;109
13/04/2013;7,14;37,3;176,89999
15/04/2013;7,79;530;91,2
15/04/2013;7,44;11,1;52,5
17/04/2013;6,55;7,93;22,7
18/04/2013;7,15;16,3;65,2
19/04/2013;7,15;31,9;56,6
19/04/2013;6,82;24,1;46
20/04/2013;7,23;8,49;81,5
20/04/2013;7,22;58,3;70,4
23/04/2013;7,9;69,4;17,2
06/05/2013;6,3;44;0,0033
06/05/2013;7,04;6,21;0,047
07/05/2013;6,4;44,3;0,0034
07/05/2013;5,77;11,8;0,011
08/05/2013;5,57;5,53;0,008
09/05/2013;6,5;48,5;0,0072
09/05/2013;5,9;31,1;0,014
10/05/2013;5,89;32,4;0,012
11/05/2013;6,12;27,8;0,032
13/05/2013;7,3;42,6;0,0534
06/06/2013;7,43;19,8;102,2
10/06/2013;7,56;4,96;33,9
03/07/2013;7,36;4,07;110,4
04/07/2013;7,37;5,61;84,7
04/07/2013;8,42;13,2;208,5
05/07/2013;7,88;4,14;86,4
06/07/2013;7,54;3,49;60
08/07/2013;7,78;2,29;58,1
10/07/2013;6,39;2,85;17,24
11/07/2013;7,14;2,19;28,6
12/07/2013;7,49;3,71;68,5
13/07/2013;7,56;3,66;123,1
15/07/2013;7,57;6,72;68
16/07/2013;;39;129,8
16/07/2013;8,25;7,48;159,3
16/07/2013;7,94;5,02;53,5
17/07/2013;8,4;38,8;
15/08/2013;6,5;42,7;0,0027
15/08/2013;7,18;3;0,058
16/08/2013;6,6;41,6;0,0028
18/08/2013;6,8;41,2;0,0044
18/08/2013;5,34;6,08;0,009
19/08/2013;5,6;10,3;0,011
20/08/2013;5,35;4,9;0,006
21/08/2013;5,65;8,28;0,01
22/08/2013;5,13;6,99;0,008
10/09/2013;8,1;40,4;0,0705
25/09/2013;8,2;19,1;193,10001
26/09/2013;6,94;6,86;56,2
01/10/2013;7,91;1,5;84,2
02/10/2013;7,8;5,9;115
02/10/2013;7,78;5,96;97,1
03/10/2013;7,59;3,02;38,9
05/10/2013;7,54;2,16;38,9
07/10/2013;7,1;5,71;20,87
07/10/2013;7,1;5,69;13,25
09/10/2013;7,61;4,82;62,1
10/10/2013;7,89;13,8;160,89999
10/10/2013;7,72;26,9;105,7
10/10/2013;7,57;6,3;121,8
11/10/2013;7,92;2,9;31,1
11/10/2013;8,12;6,8;45,2
11/10/2013;7,74;2,62;41,5
14/10/2013;8,24;24;221,3
14/10/2013;7,81;4,95;45,4
11/11/2013;8,3;0;0,0691
15/11/2013;7,2;1,7;0
15/11/2013;8,08;8,37;0,069
16/11/2013;6,8;0;0
16/11/2013;5,68;19,7;0,01
18/11/2013;7,1;5,7;
18/11/2013;6,4;60;0,014
19/11/2013;6,41;5,96;0,01
20/11/2013;6,15;27;0,012
21/11/2013;6,83;70,5;68,4
21/11/2013;6,7;10,1;0,011
13/02/2014;7,48;46;100,1
17/02/2014;7,35;36,8;33,5
15/03/2014;6,39;64,2;54,7
16/03/2014;7,96;9,06;76,3
17/03/2014;7,06;29;49,1
18/03/2014;7,67;33,7;49,8
19/03/2014;7,7;94,5;53,2
20/03/2014;6,74;40,8;14,5
20/03/2014;7,31;8,45;24,8
21/03/2014;7,89;27,3;52,6
22/03/2014;7,4;349,29999;105,8
22/03/2014;8,18;31,4;202,7
23/03/2014;8,19;178;45,9
24/03/2014;8,05;29,5;132
25/03/2014;7,77;249;62,4
25/03/2014;7,94;393;115,6
28/03/2014;;37,3;
29/03/2014;7,19;305,70001;33,4
12/04/2014;6,89;23,2;0,037
14/04/2014;6,2;22,4;
15/04/2014;6,9;25,5;
15/04/2014;6,2;16,3;0,012
16/04/2014;6,08;3,59;0,01
17/04/2014;6,6;21,7;
17/04/2014;6,57;105;0,018
19/04/2014;6,56;26,3;0,015
20/04/2014;6,91;14,3;0,042
24/04/2014;7,32;215;40,6
25/04/2014;7,4;0,8;42,6
13/06/2014;7,47;9,78;124,5
19/06/2014;7,4;3,89;31,8
03/07/2014;7,7;5,97;157,7
10/07/2014;7,11;;45,7
15/07/2014;7,68;;69,1
19/08/2014;8,96;;0,068
20/08/2014;7,4;4,44;0,01
21/08/2014;;3,95;
22/08/2014;;10,9;
23/08/2014;;7,3;
25/08/2014;;5,6;
07/10/2014;7,44;7,06;125,3
09/10/2014;7,75;;56,4
13/10/2014;7,81;;117,6
13/10/2014;7,84;;81
14/10/2014;8,36;;83,9
16/10/2014;9,16;;36
17/10/2014;7,7;;40,8
19/10/2014;7,15;;15,23
20/10/2014;6,78;;20,17
21/10/2014;7,47;;53,3
22/10/2014;7,95;;106,5
23/10/2014;7,27;;40,7
24/10/2014;7,27;;45,1
25/10/2014;5,99;;166,2
14/11/2014;6,6;13,1;
14/11/2014;6,29;23,9;
19/11/2014;6,46;143,39999;
21/11/2014;;13,6;
22/11/2014;;24,6;
24/11/2014;8,03;3,3;
24/11/2014;;10,7;
25/11/2014;;31,7;
26/11/2014;;18,6;
27/11/2014;;22,6;
17/02/2015;8,26;;
23/02/2015;8,09;;
20/03/2015;8,5;4,8;12,7
21/03/2015;8,04;;53,6
22/03/2015;8,32;;69,7
22/03/2015;8,67;;45,1
23/03/2015;7,91;;30,7
24/03/2015;9,17;;34,5
25/03/2015;7,64;;15,15
26/03/2015;8,35;2,1;168,60001
26/03/2015;8,4;;46,6
30/03/2015;8,83;;146,8
31/03/2015;8,42;;98,3
01/04/2015;8,43;;124,6
01/04/2015;8,16;;65,2
02/04/2015;8,63;;46,1
06/04/2015;8,37;;35,2
10/04/2015;6,67;42,4;36,2
11/04/2015;5,91;48,1;10,1
13/04/2015;7,14;;
14/04/2015;6,3;;16,9
15/04/2015;6,29;;16,7
21/04/2015;7,7;14,7;136,2
16/06/2015;8,18;;93,4
18/06/2015;8,2;;
18/07/2015;7,51;;74,6
22/07/2015;6,39;;45,2
25/07/2015;7,28;;100,8
27/07/2015;7,23;;75,9
29/07/2015;7,52;;54,2
30/07/2015;6,64;3,86;25,5
31/07/2015;6,85;;53,7
01/08/2015;7,55;;15,41
03/08/2015;7,53;;25
04/08/2015;8;;52
05/08/2015;7,81;;101,7
06/08/2015;7,85;;146,3
07/08/2015;8,46;;53,3
08/08/2015;7,22;;39,4
10/08/2015;8,35;0,5;35,9
12/08/2015;8,65;0,5;25,34
01/09/2015;8,43;0,1;17,7
28/09/2015;8;0,295;101,9
30/09/2015;7,8;0,294;
20/10/2015;6,89;;54
23/10/2015;7,36;;83,3
23/10/2015;7,36;;114,2
24/10/2015;7,11;;88,5
26/10/2015;6,39;;31,2
27/10/2015;6,69;;35,4
28/10/2015;6,65;;130,7
31/10/2015;6,38;;18,33
02/11/2015;7,23;;100,7
02/11/2015;6,67;;27,1
03/11/2015;7,48;;156,7
04/11/2015;7,57;;44,8
05/11/2015;8;1,6;22,8
05/11/2015;6,96;;33,7
07/11/2015;8,49;0,5;35,4
11/11/2015;7,54;27,8;117
08/12/2015;6,51;;46,6
16/03/2016;6,44;;47,7
18/03/2016;6,64;;39,2
21/03/2016;6,43;;37,2
22/03/2016;6,84;;71,7
22/03/2016;6,84;;49,7
23/03/2016;6,13;;24
30/03/2016;6,35;;123
30/03/2016;7,74;9,84;118,1
31/03/2016;6,75;;51,2
01/04/2016;7,38;;38,9
04/04/2016;6,59;;30
05/04/2016;7,13;;102,3
06/04/2016;6,81;;88,3
08/04/2016;6,35;;45,9
07/06/2016;6,07;;43,4
09/07/2016;7,09;;102
11/07/2016;7,22;;74,5
12/07/2016;7,34;;76,8
14/07/2016;6,07;;22,7
15/07/2016;6,38;;31
16/07/2016;7,02;;17,89
16/07/2016;6,12;;11,37
19/07/2016;7,66;;38,5
20/07/2016;7,43;;91,6
21/07/2016;7,08;;148,7
22/07/2016;7,75;;42,6
23/07/2016;6,84;;32
01/08/2016;7,07;5,18;139,8
11/08/2016;7,74;0,7;59,3
12/08/2016;6,57;4,5;8,1
15/08/2016;6,38;5,3;9,6
16/08/2016;6,7;7,5;8,7
17/08/2016;6,14;2,9;8,3
08/10/2016;6,55;0;0
10/10/2016;7,64;0;
12/10/2016;7,61;0;175,10001
13/10/2016;7,17;0;44,5
13/10/2016;7,6;0;30,4
15/10/2016;7,38;0;36,7
17/10/2016;5,8;0;9,3
18/10/2016;6,81;0;25,1
19/10/2016;6,27;0;14,4
21/10/2016;8,96;34;53,9
21/10/2016;8,17;42,6;26,4
21/10/2016;7,04;0;99
22/10/2016;7,95;0;81,2
22/10/2016;7,74;0;53,7
25/10/2016;6,78;0;50,02
12/11/2016;7,4;1,2;0
14/11/2016;7,42;1,5;0
14/11/2016;7,5;0;57,1
15/11/2016;6,7;;9,3
17/11/2016;7,43;54,5;0,3
17/11/2016;6,4;;10,9
18/11/2016;;;11,1
19/11/2016;6,32;;9,9
23/11/2016;7,14;221;40,9
13/02/2017;8,34;291,79999;30,8
13/02/2017;6,43;165,49001;
14/02/2017;8,42;58,9;36,9
14/02/2017;6,08;48,08;
15/02/2017;5,12;3,74;
16/02/2017;6,98;27,3;62,4
22/02/2017;6,96;43,8;33,6
02/03/2017;7,5;20,83;
02/03/2017;6,77;60,49;
03/03/2017;7,64;2,25;
06/03/2017;7,82;71;
06/03/2017;7,49;7,05;
06/03/2017;7,6;21,36;
06/03/2017;7,6;16,25;
07/03/2017;8,61;13,49;
07/03/2017;6,79;5,26;
07/03/2017;7,02;15,23;
07/03/2017;6,93;42,01;
08/03/2017;8,35;5,48;
08/03/2017;8,94;16,43;
13/03/2017;6,76;;
14/03/2017;7,34;;
15/03/2017;7,04;;
16/03/2017;6,83;;0
17/03/2017;7,38;;
20/03/2017;5,8;;
22/03/2017;6,52;;
23/03/2017;6,81;54,01;41,01
23/03/2017;7,46;;
24/03/2017;7,34;;
25/03/2017;7,65;;
27/03/2017;7,24;;
27/03/2017;7;;
28/03/2017;6,49;169,5;
29/03/2017;7,04;0;91
17/04/2017;6,75;30,4;21,6
17/04/2017;6,75;30,4;21,6
18/04/2017;6,37;28,6;11
18/04/2017;6,37;28,6;11
20/04/2017;6,37;75,2;13,7
20/04/2017;6,37;75,2;13,7
21/04/2017;6,57;30;26
21/04/2017;6,57;30;26
22/04/2017;6,31;63,7;11,1
22/04/2017;6,31;63,7;11,1
28/04/2017;7,22;;45,2
28/04/2017;7,22;;45,2
29/04/2017;7,46;;38,3
29/04/2017;7,46;;38,3
12/05/2017;7,45;8,57;9,1
15/05/2017;7,3;;
15/05/2017;6,46;;
16/05/2017;7,46;15,8;114,6
17/05/2017;7,33;;
18/05/2017;7,4;13,2;30,5
05/06/2017;7,46;;
06/06/2017;7,8;;
07/06/2017;7,87;;
08/06/2017;7,57;;
12/06/2017;7,6;2,53;
12/06/2017;7,9;;
12/06/2017;8,16;;
13/06/2017;7,95;2,13;
13/06/2017;8,28;;
14/06/2017;7,77;0,01;
14/06/2017;7,98;1,9;
14/06/2017;7,08;;
15/06/2017;7,46;;
19/06/2017;7,27;11,7;166,89999
20/06/2017;8,96;117,4;59,2
20/06/2017;8,2;9,26;22,1
23/06/2017;8,48;124;28,83
06/07/2017;8,5;;42
08/07/2017;7,41;;8
10/07/2017;7,48;;10
11/07/2017;7,26;;8
12/07/2017;7,43;;9
22/07/2017;6,4;;2,9
25/07/2017;6,4;;3
26/07/2017;6,5;;4,5
11/08/2017;7,3;9,93;155,8
15/08/2017;7,46;6,92;125,2
19/08/2017;7,23;20,4;
20/08/2017;7,59;1,4;
22/08/2017;7,48;3,36;27,1
13/09/2017;;7,66;
14/09/2017;;10;
15/09/2017;;10;
21/09/2017;;3,66;
23/09/2017;;5,33;
25/09/2017;;6,51;
26/09/2017;;6,25;
26/09/2017;;2,32;
27/09/2017;;9,9;
28/09/2017;;10;
26/10/2017;7,65;2,56;0
27/10/2017;7,29;12,4;0
28/11/2017;;249;
28/11/2017;;92,5;
01/12/2017;;36,8;
02/12/2017;;64,1;
04/12/2017;7,44;42,07;
04/12/2017;7,87;58,66;
04/12/2017;;9,71;
05/12/2017;;69,2;
06/12/2017;;48,3;
07/12/2017;;20,8;
08/12/2017;;8,63;
08/12/2017;;24,2;
24/01/2018;7,7;13;57
25/01/2018;6,5;30,5;12
26/01/2018;6,7;438;15
29/01/2018;7;84,7;11
30/01/2018;7,2;31,9;56
06/02/2018;6,3633;42,1833;
07/02/2018;6,95;122,3167;
08/02/2018;5,6667;4,4633;
06/03/2018;5,83;4,15;
06/03/2018;6,54;51,15;
07/03/2018;7,0433;14,74;
07/03/2018;6,08;16,79;
08/03/2018;6,1833;47,5833;
09/03/2018;6,9733;18,2067;
12/03/2018;6,29;6,68;
14/03/2018;7,2333;71,6867;
15/03/2018;6,3;18,0333;
15/03/2018;6,84;111,57;
15/03/2018;7,0067;139,50999;
15/03/2018;6,54;24,9333;
15/03/2018;6,96;196;98,1
20/03/2018;7,1533;21;
21/03/2018;7,8633;129,60001;
22/03/2018;7,1533;30,1767;
22/03/2018;7,7533;91,82;
08/05/2018;7,19;20,3;179,60001
09/05/2018;6,98;2,6833;
09/05/2018;7,19;10,28;
10/05/2018;8,03;6,25;
11/05/2018;6,21;0,4533;
16/05/2018;7,54;7,54;
20/05/2018;7,54;3,53;
04/06/2018;6,66;12;208,60001
05/06/2018;6,0267;6,23;
05/06/2018;6,7033;9,06;
06/06/2018;7,68;3,0067;
06/06/2018;6,1433;4,85;
07/06/2018;7,61;1,8;
07/06/2018;6,6567;3,62;
11/06/2018;6,5667;11,11;
12/06/2018;7,7;9,67;
13/06/2018;7,73;2,52;
13/06/2018;7,83;;50
13/06/2018;7,58;6,97;
13/06/2018;6,6933;18,17;
14/06/2018;8,03;5,1;123
14/06/2018;7,685;3,3;
14/06/2018;7,8;2,27;
14/06/2018;6,76;17,3633;
15/06/2018;8,01;3,5;72
18/06/2018;8,08;;22
18/06/2018;7,49;3,36;
19/06/2018;7,76;5,1267;
19/06/2018;7,7333;9,1967;
19/06/2018;8,33;;19
20/06/2018;7,1367;4,6167;
20/06/2018;8,29;;57
21/06/2018;8,28;;65
25/06/2018;8,17;;82
25/06/2018;8,18;21;70
26/06/2018;8,06;;100
07/07/2018;7,72;0,7;
10/07/2018;6,61;2,06;
11/07/2018;7,73;3,52;
11/07/2018;6,49;5,62;
12/07/2018;7,73;7,46;
12/07/2018;6,3;4,3;
13/07/2018;6,17;1,7;
17/07/2018;7,46;1,44;
17/07/2018;6,3;1,5;
18/07/2018;6,4;1,7;
19/07/2018;6,9;2,4;
26/07/2018;8,32;3,72;
01/08/2018;6,44;1,56;
01/08/2018;6,71;2,37;
02/08/2018;5,58;0,76;
20/08/2018;7,66;0,34;
23/08/2018;7,91;2,14;
23/08/2018;7,5;5;
24/08/2018;7,51;14,11;
28/08/2018;7,48;3,75;
28/08/2018;6,76;2,43;
29/08/2018;5,95;4,02;
29/08/2018;6,76;4,62;
30/08/2018;7,69;3,01;
30/08/2018;6,48;3,06;
03/09/2018;7,86;27,2;
04/09/2018;7,86;3,59;
04/09/2018;6,89;32,56;
05/09/2018;7,28;2,19;
05/09/2018;7,8;1,8;
05/09/2018;6,87;6,3;
05/09/2018;7,04;3,33;101,5
10/09/2018;7,39;1,95;
11/09/2018;7,73;4,56;
12/09/2018;7,3;3,54;
12/09/2018;7,67;5,93;
13/09/2018;8,07;;
14/09/2018;8;;
15/09/2018;7,6;;
19/09/2018;8;;
20/09/2018;7,6;;
24/09/2018;7;;
25/09/2018;7,1;;
26/09/2018;7,3;;
27/09/2018;7,4;;
29/09/2018;7,7;;
03/10/2018;8,3;5,92;
11/10/2018;7,79;13,06;
15/10/2018;7,99;5,3;
15/10/2018;7,29;2,92;
16/10/2018;6,17;6,97;
17/10/2018;6,17;63,9;
18/10/2018;;29,7;
18/10/2018;5,97;5,9;
19/10/2018;;29,7;
20/10/2018;5,29;136,67999;
22/10/2018;;30;
24/10/2018;7,3;17,9;
29/10/2018;6,55;29,63;
30/10/2018;5,9;0,45;
31/10/2018;7,78;17,22;
31/10/2018;6,54;9,83;
01/11/2018;7,53;697,83002;
12/11/2018;7,49;8,5;
13/11/2018;7,7;3,3;
23/11/2018;8,22;69,02;
26/11/2018;7,75;2;
27/11/2018;6,08;181,42;
27/11/2018;6,32;32,34;
28/11/2018;5,75;12,33;
28/11/2018;6,11;209,59;
29/11/2018;7,53;18,13;
30/11/2018;7,91;41,7;
01/12/2018;8,1;60,4;
03/12/2018;7,98;82,95;
03/12/2018;8,43;50,3;
03/12/2018;8,26;48;
04/12/2018;6,19;15,49;
04/12/2018;8,49;42,9;
05/12/2018;7,29;59,8;
05/12/2018;6,41;16,67;
05/12/2018;8,54;91,3;
06/12/2018;8,38;127,2;
06/12/2018;8,6;43,3;
06/12/2018;6,84;128,82001;
06/12/2018;7,17;124;
06/12/2018;6,34;47,84;
08/12/2018;8,62;65,3;
08/12/2018;8,7;41,7;
09/12/2018;8,75;187,60001;
11/12/2018;7,06;22,23;
11/12/2018;7,49;190,78;
12/12/2018;7,88;48,36;
13/12/2018;7,06;15,1;
22/01/2019;7,03;30,07;
23/01/2019;7,32;18,89;
23/01/2019;7,25;7,11;
24/01/2019;7,64;11,26;
25/01/2019;7,82;3,2;
30/01/2019;7,72;26,9;
31/01/2019;7,99;7,74;
01/02/2019;7,88;7,88;
04/02/2019;8,34;32,05;
14/02/2019;6,36;5,89;
15/02/2019;6,37;39,05;
20/02/2019;7,15;101;168,89999
